_id,Name,Address,City,State,Country,Zip Code,Latitude,Longitude,Hours
ObjectId("5c379680b96ec4c88ad19c49"),300 Suns Brewing Co,335 1st Ave C,Longmont,CO,US,80501,40.16022,-105.09983999999999,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad19c4c"),Ursula Brewery,2101 N Ursula St,Aurora,CO,US,80045,39.74794063,-104.8372883,"[{""day"":""Mon - Wed""
ObjectId("5c379680b96ec4c88ad19c6c"),Rock Cut Brewing Company,390 W Riverside Dr,Estes Park,CO,US,80517,40.373144,-105.522957,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad19c77"),Grossen Bart Brewery,1025 Delaware Ave,Longmont,CO,US,80501,40.154953000000006,-105.10933999999999,"[{""day"":""Mon - Thu""
ObjectId("5c379680b96ec4c88ad19c81"),Crabtree Brewing Company,2961 W 29th St,Greeley,CO,US,80631,40.39063554,-104.7267072,"[{""day"":""Monday
ObjectId("5c379680b96ec4c88ad19cd4"),Old Mill Brewery,5788 S Rapp St,Littleton,CO,US,80120,39.61196608,-105.01981119999999,"[{""day"":""Wed""
ObjectId("5c379680b96ec4c88ad19cdb"),Bonfire Brewing,127 W 2nd St,Eagle,CO,US,81631,39.65533268,-106.82873190000001,"[{""day"":""Mon - Thu""
ObjectId("5c379680b96ec4c88ad19cf4"),World of Beer,1555 Blake St,Denver,CO,US,80202,39.750288,-104.99976799999999,"[{""day"":""Mon - Sun""
ObjectId("5c379680b96ec4c88ad19d00"),Palisade Brewing Company,342 W 2nd St,Palisade,CO,US,81526,39.11114402,-108.3540129,"[{""day"":""Sat""
ObjectId("5c379680b96ec4c88ad19d10"),World of Beer,7260 W Alaska Dr,Denver,CO,US,80226,39.709068,-105.077258,"[{""day"":""Mon - Fri""
ObjectId("5c379680b96ec4c88ad19d5a"),Boulder Beer Tap House,W Jeppesen Terminal 5,Denver,CO,US,80249,39.84875971,-104.6737427,"[{""day"":""Thursday""
ObjectId("5c379680b96ec4c88ad19d69"),Pug Ryan's Brewing Company,104 Village Pl,Dillon,CO,US,80435,39.62804714,-106.0464899,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad19d7c"),Mahogany Ridge Brewery & Grill,435 Lincoln Ave,Steamboat Springs,CO,US,80487,40.48405,-106.831375,"[{""day"":""Sun - Thu""
ObjectId("5c379680b96ec4c88ad19d86"),South Park Brewery,297 US 285,Fairplay,CO,US,80440,39.22045068,-105.99312079999999,"[{""day"":""Friday""
ObjectId("5c379680b96ec4c88ad19d8e"),First Draft,1309 26th St,Denver,CO,US,80205,39.758587,-104.98543000000001,"[{""day"":""Fri""
ObjectId("5c379680b96ec4c88ad19d9e"),Colorado Plus Brew Pub,6995 W 38th Ave,Wheat Ridge,CO,US,80033,39.76949196,-105.0742507,"[{""day"":""Monday - Friday""
ObjectId("5c379680b96ec4c88ad19dc5"),Rocky Mountain Brewery,625 Paonia St,Colorado Springs,CO,US,80915,38.8412,-104.7168,"[{""day"":""Saturday""
ObjectId("5c379680b96ec4c88ad19e3b"),Joe's Liquors,1060 W Beaver Creek Blvd,Avon,CO,US,81620,39.6355,-106.5375,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad19e3e"),Gravity Brewing,1150 Pine St,Louisville,CO,US,80027,39.977,-105.1292,"[{""day"":""Mon - Thu""
ObjectId("5c379680b96ec4c88ad19e4a"),Gravity Ten Twenty,1020 E Lincoln Ave,Fort Collins,CO,US,80524,40.5893,-105.0585,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad19e61"),The Perfect Pour,1671 S College Ave,Fort Collins,CO,US,80525,40.56541,-105.07718999999999,"[{""day"":""Monday - Saturday""
ObjectId("5c379680b96ec4c88ad19e95"),Smiling Toad Brewing,1757 S 8th St,Colorado Springs,CO,US,80905,38.8066,-104.8385,"[{""day"":""Tuesday - Saturday""
ObjectId("5c379680b96ec4c88ad19ea2"),10barrel brewing,2620 Walnut St,Denver,CO,US,80205,39.75939,-104.9855,"[{""day"":""Monday - Thursday
ObjectId("5c379680b96ec4c88ad19eb8"),Nighthawk Brewery,2780 Industrial Ln,Broomfield,CO,US,80020,39.92115869,-105.1011686,"[{""day"":""Monday - Wednesday""
ObjectId("5c379680b96ec4c88ad19ebe"),Blue Spruce Brewing Co.,4151 E County Line Rd,Littleton,CO,US,80122,39.56612,-104.93783,"[{""day"":""Monday - Friday""
ObjectId("5c379680b96ec4c88ad19ec9"),The Bakers' Brewery LLC,531 Silverthorne Ln,Silverthorne,CO,US,80497,39.629753,-106.06746000000001,"[{""day"":""Mon - Sun""
ObjectId("5c379680b96ec4c88ad19ee0"),Upslope Brewing Company,1501 Lee Hill Rd,Boulder,CO,US,80304,40.0628003,-105.2792358,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad19ef7"),CooperSmith's Pub & Brewing :: Pool Side,7 Old Town Sq,Fort Collins,CO,US,80524,40.58724163,-105.0753772,"[{""day"":""Monday - Friday""
ObjectId("5c379680b96ec4c88ad19f06"),Westbound & Down Brewing Company,1617 Miner St,Idaho Springs,CO,US,80452,39.74178095,-105.5153457,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad19f10"),Spangalang Brewery,2736 Welton St,Denver,CO,US,80205,39.7551,-104.9771,"[{""day"":""Monday - Tuesday
ObjectId("5c379680b96ec4c88ad19f12"),Dry Dock Brewing Company - South Dock,15120 E Hampden Ave,Aurora,CO,US,80014,39.6483602,-104.78917170000001,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad19f2c"),Anheuser-Busch Brewery Experiences,2351 Busch Dr,Fort Collins,CO,US,80524,40.61995973,-105.00440479999999,"[{""day"":""Monday
ObjectId("5c379680b96ec4c88ad19f38"),Rock Bottom Brewery,1001 16th St,Denver,CO,US,80265,39.7474795,-104.994972,"[{""day"":""Monday - Sunday""
ObjectId("5c379680b96ec4c88ad19f42"),Denver Beer Co.,1695 Platte St,Denver,CO,US,80202,39.758293,-105.00718799999999,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad19f49"),Breckenridge Colorado Craft,2220 Blake St,Denver,CO,US,80205,39.75638065,-104.99136029999998,"[{""day"":""Monday - Thursday
ObjectId("5c379680b96ec4c88ad19f52"),Fort Collins Brewery & Tavern,1020 E Lincoln Ave,Fort Collins,CO,US,80524,40.58916311,-105.058977,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad19f56"),Verboten Brewing,127 E 5th St,Loveland,CO,US,80537,40.3966,-105.0755,"[{""day"":""Monday
ObjectId("5c379680b96ec4c88ad19f63"),The Old Mine,500 Briggs St.,Erie,CO,US,80516,40.04909,-105.0478,"[{""day"":""Tuesday - Thursday""
ObjectId("5c379680b96ec4c88ad19f82"),Lariat Lodge Brewing Company,27618 Fireweed Dr,Evergreen,CO,US,80439,39.638794,-105.3136,"[{""day"":""Sun""
ObjectId("5c379680b96ec4c88ad19f83"),Walnut Brewery,1123 Walnut St,Boulder,CO,US,80302,40.016872,-105.28043999999998,"[{""day"":""Monday - Thursday
ObjectId("5c379680b96ec4c88ad19f89"),Call to Arms Brewing Company,4526 Tennyson St,Denver,CO,US,80212,39.77887,-105.04363000000001,"[{""day"":""Monday - Thursday""
ObjectId("5c379680b96ec4c88ad19f94"),Dry Dock Brewing Co. - North Dock,2801 Tower Rd,Aurora,CO,US,80011,39.756603000000005,-104.77355,"[{""day"":""Thu""
ObjectId("5c379680b96ec4c88ad19f95"),Historian's Ale House,24 Broadway,Denver,CO,US,80203,39.71699,-104.987366,"[{""day"":""Monday - Friday""
ObjectId("5c379680b96ec4c88ad19f97"),Wynkoop Brewing Company,1634 18th St,Denver,CO,US,80202,39.753357,-104.99853999999999,"[{""day"":""Sun - Sat""
