,State,Total Breweries
0,CA,822
1,CO,279
2,WA,262
3,OR,258
4,TX,237
5,FL,224
6,MI,221
7,NY,215
8,PA,203
9,VA,177
10,OH,171
11,NC,160
12,AZ,152
13,IL,145
14,WI,112
15,IN,110
16,MA,84
17,NJ,80
18,MN,80
19,MO,77
20,MD,76
21,GA,73
22,TN,58
23,ME,58
24,NV,49
25,IA,41
26,SC,41
27,CT,36
28,NM,33
29,ID,33
30,MT,32
31,NH,31
32,NE,30
33,AL,28
34,KS,27
35,KY,25
36,OK,24
37,DE,24
38,AK,23
39,AR,22
40,LA,22
41,UT,19
42,DC,16
43,HI,15
44,Pitt,11
45,RI,9
46,Mphs,8
47,Co Spgs,8
48,WY,8
49,Orenco,7
50,WV,7
51,Fred,7
52,VT,6
53,Heritage Rnch,5
54,Ames Lake,5
55,Hono,5
56,Fairhaven,5
57,Burl,5
58,SD,5
59,Paradise Park,4
60,Lauderdale,4
61,Mormon Island,4
62,Wallingford,4
63,Kampville,4
64,Veazie,4
65,Wheat Ridge,4
66,Grant Road Addition,4
67,Graniteville,3
68,Townley,3
69,Campbell,3
70,E Farmingdale,3
71,Elkhurst,3
72,Nyc,3
73,Cushing,3
74,Lyndon,3
75,Murfreesbr,3
76,Manor Ridge,3
77,Hilltop,3
78,Fairmont,3
79,Hoffman Estates,3
80,Weybridge,3
81,Central Valley,3
82,Hassan,3
83,Saint Francis,3
84,Salt Lake Cty,3
85,Farmington Municipal Airport,3
86,Schellville,3
87,West Easton,3
88,Beckett Point,3
89,Brookside,2
90,Fleming,2
91,Hermosa,2
92,Centennial Hts,2
93,River Hills,2
94,Cherry Hl Vlg,2
95,Swiss,2
96,Blue Springs,2
97,Center City,2
98,Lakewood,2
99,Northgate,2
100,Cooper City,2
101,Richmond Heights,2
102,Hidden Springs,2
103,Cedar Ravine,2
104,Echelon,2
105,Williams Crk,2
106,Concord Twp,2
107,Mount Sharp,2
108,Presidio Of Monterey,2
109,Los Ranchos De Albuquerque,2
110,Coddington,2
111,Pgh,2
112,Rsm,2
113,Mettler,2
114,Wm Penn Anx E,2
115,Lansdowne,2
116,Glenwood,2
117,Chas,2
118,Oakwood,2
119,Lakeside,2
120,Jackson Hole,2
121,Searles,2
122,Inverness,2
123,Gladstone,2
124,Maysville,2
125,Tuxedo,2
126,Donner Lake,2
127,Pleasant Ridge,2
128,Chumstick,2
129,Smc,2
130,City Of Wb,2
131,ND,2
132,Marble Cliff,2
133,Lardo,2
134,Beautiful,2
135,Jelm,2
136,Brindle Town,2
137,Queens,2
138,Gray Gables,2
139,Quarry,2
140,Palm Bch Gdns,2
141,Blumenthal,2
142,Spfld,2
143,Burr Oak,2
144,Pagosa Lakes,2
145,Glendale,2
146,East Rockland Key,2
147,Bayview,2
148,Kenn,2
149,Colbyville,2
150,Jewell,2
151,Standale,2
152,Fox Rv Vly Gn,2
153,Maytown,2
154,Woodcrest,2
155,Suntree,2
156,Columbine Vly,2
157,Deiblers,2
158,Pismo Beach,2
159,Cascade,2
160,Manila,2
161,Gville,2
162,Village Of Wellington,2
163,Jenneville,2
164,Jax,2
165,West Homestead,2
166,Universal Cty,2
167,Clarkson Valley,2
168,Saint Louis Park,2
169,Oak Park Hts,2
170,Edmund,2
171,Chapmantown,2
172,Fredbg,2
173,Woodmont Beach,2
174,Surry,2
175,Deerfield,2
176,Marriott-slaterville City,2
177,Hot Springs National,2
178,Manhattan,2
179,Schluersburg,2
180,Fairland,2
181,East Patchogue,2
182,Chupadero,2
183,South Miami,2
184,Center Groton,1
185,Grimville,1
186,East Glenville,1
187,N Conway,1
188,Georgetown,1
189,Millenbeck,1
190,Westmont,1
191,Wake Crossroads,1
192,Lake Mahopac,1
193,Copper Queen,1
194,Lake Edwards,1
195,East Htfd,1
196,Grnwood,1
197,Playa Vista,1
198,Washington Twp,1
199,Dardenne Prairie,1
200,Norland Park,1
201,Pt Angeles,1
202,Warehouse Point,1
203,Bull Creek Village,1
204,Vint Hill Frm,1
205,West Bristol,1
206,Tavistock,1
207,Cartoogechaye,1
208,Clearview,1
209,Peoria,1
210,Phila,1
211,Smiley Heights,1
212,Fresh Pond,1
213,Halibut Cove,1
214,New Brighton,1
215,Dover Township,1
216,Camp Union,1
217,Norwood,1
218,Calabasas Hills,1
219,E Lewisburg,1
220,Donegal Springs,1
221,Woodland Hills,1
222,Fayetteville,1
223,New Milford,1
224,West Bradenton,1
225,Emery,1
226,Upper Holland,1
227,Holiday Shores,1
228,High,1
229,Wilder,1
230,Rollinsville,1
231,E Cleveland,1
232,Rancho West,1
233,Mount Hood-parkdale,1
234,Tequesta,1
235,Surfside,1
236,Glen Riddle,1
237,Martin,1
238,So Bend,1
239,West Hartford,1
240,Tonawanda,1
241,Inglenook,1
242,S Pass City,1
243,Oak Ridge,1
244,Mozart,1
245,D.C.,1
246,Point O Woods,1
247,Tysons Corner,1
248,Town Branch,1
249,Lake Ronkonkoma Heights,1
250,Grant Valley,1
251,Calverton Park,1
252,Kerrtown,1
253,Midway,1
254,Durham,1
255,Willow Brook,1
256,Middle Bass,1
257,Glenallen,1
258,Clipper Gap,1
259,West Vail,1
260,Myrtle,1
261,Kingsley Field,1
262,Stannard,1
263,Oakview,1
264,Happy Valley,1
265,North Madison,1
266,Shawondassee,1
267,No Potomac,1
268,North Chesterfield,1
269,Clarence,1
270,Circleville,1
