,Store Hours,Total Breweries
0,"[{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - Midnight""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 1:00 AM""}]",13
1,"[{""day"":""Monday - Sunday"",""hour"":""11:00 am - 5:00 pm""}]",9
2,"[{""day"":""Monday - Friday"",""hour"":""8:00 am - 5:00 pm""}]",9
3,"[{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 2:00 AM""},{""day"":""Mon - Sun"",""hour"":""11:00 AM - 2:00 AM""}]",8
4,"[{""day"":""Monday - Friday"",""hour"":""9:00 am - 5:00 pm""}]",8
5,"[{""day"":""Mon - Fri"",""hour"":""8:00 am - 5:00 pm""}]",7
6,"[{""day"":""Monday - Sunday"",""hour"":""11:00 AM - 10:00 PM""},{""day"":""Mon - Sun"",""hour"":""11:00 AM - 10:00 PM""}]",7
7,"[{""day"":""Monday - Sunday"",""hour"":""24 Hours""}]",7
8,"[{""day"":""Sun"",""hour"":""12:00 PM-06:00 PM""}]",6
9,"[{""day"":""Mon - Sun"",""hour"":""10:00 AM - 5:00 PM""}]",6
10,"[{""day"":""Sun"",""hour"":""11:00 AM-11:00 PM""}]",6
11,"[{""day"":""Mon - Fri"",""hour"":""9:00 am - 5:00 pm""}]",6
12,"[{""day"":""Mon - Sun"",""hour"":""11:00 am - 12:00 am""}]",5
13,"[{""day"":""Monday - Sunday"",""hour"":""10:00 AM - 5:00 PM""}]",5
14,"[{""day"":""Monday - Sunday"",""hour"":""10:00 AM - 5:00 PM""},{""day"":""Mon - Sun"",""hour"":""10:00 AM - 5:00 PM""}]",5
15,"[{""day"":""Sat"",""hour"":""10:00 AM-02:00 PM""}]",5
16,"[{""day"":""Mon - Sun"",""hour"":""11:00 AM - 11:00 PM""}]",5
