,Name,Address,City,State,Country,Zip Code,Latitude,Longitude,Hours
10,Moat Mountain Smoke House & Brewing Co.,3378 White Mountain Hwy,North Conway,N Conway,US,3860,44.06841641,-71.14390969,"[{""day"":""Mon"",""hour"":""1:00 PM - 8:00 PM""},{""day"":""Fri"",""hour"":""1:00 PM - Midnight""},{""day"":""Wed"",""hour"":""5:00 PM - 9:00 PM""}]"
14,Coastal Extreme Brewing Company,293 Jt Connell Hwy,Newport,RI,US,2840,41.51424931,-71.31590366,"[{""day"":""Mon, Wed - Sun"",""hour"":""Noon - 5:00 PM""}]"
15,La Legendaria,Sierra Leona 720,San Antonio,TX,US,78240,22.13076115,-101.0190167,"[{""day"":""Tue - Wed"",""hour"":""1:00 PM - 11:00 PM""},{""day"":""Mon"",""hour"":""1:00 PM - 10:00 PM""},{""day"":""Thu - Sat"",""hour"":""1:00 PM - Midnight""},{""day"":""Sun"",""hour"":""1:00 PM - 11:30 PM""}]"
30,Bottom of The Hill,2458 Fm 2458,Justiceburg,TX,US,79330,33.055149,-101.160785,"[{""day"":""Sun"",""hour"":""08:00 AM-02:00 PM""}]"
31,North Peak Brewing Company,400 W,Traverse City,MI,US,49684,44.764316,-85.62853,"[{""day"":""Fri - Sat"",""hour"":""11:00 AM - Midnight""},{""day"":""Sun"",""hour"":""Noon - 10:00 PM""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - 11:00 PM""}]"
33,Brew Bums,610 Main St,Ansley,Myrtle,US,68814,41.288118,-99.380628,"[{""day"":""Tue"",""hour"":""09:00 AM-05:00 PM""},{""day"":""Sat"",""hour"":""09:00 AM-01:00 PM""},{""day"":""Thu"",""hour"":""09:00 AM-05:00 PM""}]"
35,Grafton Brewhaus,300 W Main St,Grafton,Quarry,US,62037,38.97012,-90.43911,"[{""day"":""Sun"",""hour"":""Noon - 7:00 PM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 9:00 PM""}]"
39,Escape Craft Brewery,721 Nevada St,Redlands,Smiley Heights,US,92373,34.06160036,-117.2185874,"[{""day"":""Sat"",""hour"":""Noon - 9:30 PM""},{""day"":""Sun"",""hour"":""Noon - 6:00 PM""},{""day"":""Wed - Fri"",""hour"":""2:00 PM - 9:30 PM""}]"
40,Lazy Hiker Brewing Co,188 W Main St,Franklin,Cartoogechaye,US,28734,35.180972,-83.383978,"[{""day"":""Sun"",""hour"":""12:00 PM-06:00 PM""}]"
52,The Village Shops On Venetian Bay,4200 Gulf Shore Blvd N,Naples,FL,US,34103,26.195888,-81.812706,"[{""day"":""Sun"",""hour"":""12:00 PM-06:00 PM""}]"
