,Zip Code,Total Breweries
0,80205,17
1,94558,17
2,99362,17
3,95448,16
4,80524,15
5,98107,15
6,43215,15
7,98402,14
8,97209,13
9,28801,12
10,80301,12
11,85281,12
12,98103,12
13,97214,12
14,93446,12
15,37203,11
16,98225,11
17,97124,11
18,97031,11
19,92101,10
20,94550,10
21,94107,10
22,49684,10
23,92121,10
24,55413,9
25,93401,9
26,97227,9
27,97103,9
28,97402,9
29,4103,8
30,4101,8
31,80501,8
32,23230,8
33,45202,8
34,22401,8
35,28203,8
36,59101,8
37,97702,8
38,15201,7
39,92081,7
40,98052,7
41,4412,7
42,97470,7
43,92104,7
44,80537,7
45,94710,7
46,94110,7
47,63301,7
48,89109,7
49,98801,7
50,80203,7
51,80204,7
52,80021,7
53,86001,7
54,80020,7
55,98101,7
56,98134,7
57,49007,7
58,44113,7
59,94574,7
60,80216,7
61,80202,7
62,92591,7
63,97401,6
64,46202,6
65,92126,6
66,64108,6
67,89101,6
68,49686,6
69,92110,6
70,85260,6
71,95060,6
72,86403,6
73,85308,6
74,78758,6
75,95112,6
76,3801,6
77,83702,6
78,98273,6
79,92108,6
80,60614,6
81,98072,6
82,60657,6
83,30030,6
84,97202,6
85,97239,6
86,95037,6
87,99202,6
88,92647,6
89,98660,6
90,99201,6
91,53212,6
92,97232,6
93,43201,6
94,43206,6
95,27701,6
96,30318,6
97,98108,6
98,17602,6
99,92107,6
100,95401,6
101,28205,6
102,17603,6
103,30308,5
104,95008,5
105,97701,5
106,85251,5
107,80211,5
108,49002,5
109,49503,5
110,95630,5
111,94607,5
112,92106,5
113,95240,5
114,92590,5
115,60640,5
116,65201,5
117,46032,5
118,80903,5
119,46220,5
120,55802,5
121,90501,5
122,15203,5
123,27526,5
124,95678,5
125,70130,5
126,81526,5
127,53593,5
128,18042,5
129,80212,5
130,94520,5
131,84047,5
132,75207,5
133,80026,5
134,33605,5
135,45701,5
136,48104,5
137,80401,5
138,93101,5
139,93441,5
140,78624,5
141,97330,5
142,92008,5
143,47404,5
144,29607,5
145,85719,5
146,93940,5
147,33426,5
148,59715,5
149,53704,5
150,29601,5
151,77070,5
152,95472,5
153,92078,5
154,97302,5
155,60173,5
156,97128,5
157,5401,5
158,7083,4
159,40202,4
160,97223,4
161,46601,4
162,97070,4
163,44060,4
164,21201,4
165,20147,4
166,80210,4
167,95404,4
168,92037,4
169,80303,4
170,94704,4
171,86301,4
172,12801,4
173,92029,4
174,32250,4
175,50309,4
176,92806,4
177,40508,4
178,97213,4
179,94566,4
180,22902,4
181,37738,4
182,11101,4
183,80302,4
184,20132,4
185,52801,4
186,32218,4
187,52402,4
188,80525,4
189,97365,4
190,95959,4
191,43219,4
192,47150,4
193,38104,4
194,27707,4
195,95020,4
196,48067,4
197,28803,4
198,34787,4
199,97304,4
200,32246,4
201,93465,4
202,5753,4
203,27601,4
204,30040,4
205,92109,4
206,98116,4
207,75206,4
208,32114,4
209,93463,4
210,94301,4
211,95073,4
212,98368,4
213,63332,4
214,45409,4
215,11735,4
216,80027,4
217,60618,4
218,97477,4
219,12866,4
220,18103,4
221,94019,4
222,19382,4
223,14860,4
224,2210,4
225,76104,4
226,55369,4
227,37902,4
228,32204,4
229,94501,4
230,96150,4
231,97333,4
232,12561,4
233,49423,4
234,98109,4
235,95667,4
236,92127,4
237,97301,4
238,92025,4
239,95126,4
240,98105,4
241,28786,4
242,98816,4
243,22932,4
244,55113,4
245,27603,4
246,78702,4
247,49440,4
248,45402,4
249,20175,4
250,86336,4
251,95476,4
252,73069,4
253,53208,4
254,19123,4
255,11935,4
256,92120,4
257,53081,4
258,92111,4
259,89501,4
260,80002,4
261,98020,4
262,10036,4
263,61201,4
264,94577,4
265,96813,4
266,78704,4
267,4401,4
268,99501,4
269,21701,4
270,92071,4
271,21222,4
272,33071,4
273,6405,4
274,46203,4
275,21401,4
276,29577,4
277,22920,4
278,94515,4
279,95442,3
280,27407,3
281,95811,3
282,80122,3
283,92131,3
284,14818,3
285,95521,3
286,93427,3
287,11385,3
288,19067,3
289,78215,3
290,85345,3
291,99518,3
292,8401,3
293,30601,3
294,78130,3
295,56320,3
296,33127,3
297,87106,3
298,20004,3
299,14840,3
300,28217,3
301,95928,3
302,63366,3
303,49101,3
304,98409,3
305,30306,3
306,63118,3
307,90024,3
308,80109,3
309,10469,3
310,63104,3
311,2114,3
312,22408,3
313,78216,3
314,87102,3
315,6460,3
316,19806,3
317,97211,3
318,92374,3
319,45342,3
320,3054,3
321,63103,3
322,95819,3
323,14837,3
324,95403,3
325,19808,3
326,20155,3
327,77002,3
328,49525,3
329,81632,3
330,92780,3
331,80517,3
332,87110,3
333,32176,3
334,19335,3
335,48103,3
336,14094,3
337,29201,3
338,45211,3
339,64098,3
340,38106,3
341,83402,3
342,98953,3
343,68102,3
344,80905,3
345,32803,3
346,49103,3
347,85050,3
348,97005,3
349,72201,3
350,80223,3
351,37067,3
352,14850,3
353,19460,3
354,27608,3
355,98684,3
356,46240,3
357,35758,3
358,87401,3
359,91911,3
360,87109,3
361,29403,3
362,94534,3
363,98188,3
364,95603,3
365,60515,3
366,98501,3
367,29464,3
368,55082,3
369,91362,3
370,44041,3
371,98671,3
372,87501,3
373,16803,3
374,12946,3
375,95062,3
376,92663,3
377,32801,3
378,60622,3
379,80435,3
380,84116,3
381,94562,3
382,27617,3
383,85018,3
384,66502,3
385,1518,3
386,21227,3
387,94103,3
388,49506,3
389,55102,3
390,80921,3
391,43212,3
392,97217,3
393,63043,3
394,27540,3
395,20110,3
396,92821,3
397,72701,3
398,93003,3
399,48858,3
400,31401,3
401,80111,3
402,95482,3
403,33701,3
404,80466,3
405,77007,3
406,13204,3
407,18031,3
408,49855,3
409,30144,3
410,20910,3
411,30324,3
412,87507,3
413,19711,3
414,92103,3
415,46545,3
416,94954,3
417,13202,3
418,53204,3
419,24521,3
420,62025,3
421,53024,3
422,19454,3
423,30005,3
424,23451,3
425,88005,3
426,95451,3
427,94945,3
428,50010,3
429,49682,3
430,33431,3
431,97367,3
432,28401,3
433,61820,3
434,98370,3
435,91942,3
436,92626,3
437,97060,3
438,22958,3
439,60202,3
440,53597,3
441,28202,3
442,40204,3
443,37917,3
444,23454,3
445,60004,3
446,92648,3
447,93460,3
448,89119,3
449,43604,3
450,54303,3
451,33432,3
452,76051,3
453,85029,3
454,5089,3
455,92592,3
456,78745,3
457,98028,3
458,94070,3
459,97119,3
460,93313,3
461,94612,3
462,90802,3
463,32502,3
464,48201,3
465,94117,3
466,13807,3
467,90039,3
468,35233,3
469,98374,3
470,14075,3
471,83714,3
472,85009,3
473,64106,3
474,19119,3
475,98201,3
476,60616,3
477,94538,3
478,80487,3
479,85257,3
480,89014,3
481,98125,3
482,64116,3
483,19003,3
484,92116,3
485,4106,3
486,11901,3
487,78701,3
488,20166,3
489,99352,3
490,14580,3
491,54601,3
492,33401,3
493,65041,3
494,54220,3
495,92688,3
496,86046,3
497,85016,3
498,85711,3
499,19106,3
500,94122,3
501,24060,3
502,44720,3
503,91502,3
504,27101,3
505,72205,3
506,4072,3
507,18938,3
508,53207,3
509,97116,3
510,53202,3
511,93311,3
512,30513,3
513,68508,3
514,75002,3
515,83651,3
516,19130,3
517,90803,3
518,32819,3
519,10022,3
520,85705,3
521,4043,3
522,16801,3
523,60613,3
524,97520,3
525,89431,3
526,28806,3
527,3842,3
528,95441,3
529,92115,3
530,8049,3
531,45226,3
532,23602,3
533,46360,3
534,17201,3
535,45209,3
536,49417,3
537,92832,3
538,92805,3
539,98275,3
540,80033,3
541,49504,3
542,12065,2
543,80521,2
544,19127,2
545,98290,2
546,46142,2
547,62975,2
548,55414,2
549,80907,2
550,98208,2
551,49106,2
552,80124,2
553,94010,2
554,91608,2
555,23220,2
556,14213,2
557,33907,2
558,23060,2
559,98117,2
560,85701,2
561,86322,2
562,32931,2
563,80513,2
564,2145,2
565,17111,2
566,63304,2
567,68847,2
568,20003,2
569,98068,2
570,44805,2
571,44145,2
572,43438,2
573,80014,2
574,86305,2
575,97463,2
576,33603,2
577,44094,2
578,17101,2
579,28301,2
580,98033,2
581,49456,2
582,55403,2
583,85710,2
584,60608,2
585,32310,2
586,68522,2
587,87124,2
588,81601,2
589,92064,2
590,29582,2
591,98831,2
592,47807,2
593,97526,2
594,15601,2
595,98604,2
596,95110,2
597,33801,2
598,32601,2
599,98362,2
600,32901,2
601,53235,2
602,3431,2
603,18109,2
604,78257,2
605,94089,2
606,98005,2
607,14845,2
608,27520,2
609,22903,2
610,92083,2
611,61602,2
612,18629,2
613,98029,2
614,2904,2
615,65806,2
616,98366,2
617,27262,2
618,44102,2
619,61615,2
620,31901,2
621,34771,2
622,49341,2
623,27518,2
624,48706,2
625,46394,2
626,12538,2
627,80452,2
628,98126,2
629,23224,2
630,97219,2
631,80631,2
632,15209,2
633,36104,2
634,6478,2
635,19053,2
636,97205,2
637,44107,2
638,96145,2
639,76017,2
640,96161,2
641,49913,2
642,46204,2
643,55104,2
644,14527,2
645,48708,2
646,78247,2
647,94063,2
648,20164,2
649,83406,2
650,93436,2
651,75224,2
652,93710,2
653,91741,2
654,97041,2
655,46260,2
656,22643,2
657,94114,2
658,54481,2
659,96825,2
660,29455,2
661,33487,2
662,33618,2
663,81657,2
664,19125,2
665,13326,2
666,94533,2
667,99354,2
668,8360,2
669,77077,2
670,54701,2
671,92009,2
672,49770,2
673,85323,2
674,60201,2
675,11222,2
676,79936,2
677,54115,2
678,90278,2
679,19014,2
680,37409,2
681,46350,2
682,6002,2
683,89011,2
684,87113,2
685,34698,2
686,53233,2
687,32207,2
688,62966,2
689,97138,2
690,93291,2
691,33765,2
692,52761,2
693,88061,2
694,28655,2
695,94573,2
696,44256,2
697,76132,2
698,89512,2
699,56073,2
700,82001,2
701,35401,2
702,95695,2
703,80120,2
704,96817,2
705,20814,2
706,60010,2
707,2045,2
708,92802,2
709,46216,2
710,22801,2
711,22206,2
712,78759,2
713,17401,2
714,79423,2
715,8016,2
716,60607,2
717,99336,2
718,80246,2
719,48170,2
720,97303,2
721,15228,2
722,80550,2
723,14847,2
724,94118,2
725,52302,2
726,66111,2
727,19063,2
728,48198,2
729,70448,2
730,2149,2
731,49321,2
732,33176,2
733,80228,2
734,97504,2
735,60014,2
736,55416,2
737,48035,2
738,2116,2
739,19703,2
740,97321,2
741,71913,2
742,59701,2
743,20850,2
744,37122,2
745,68104,2
746,77584,2
747,60018,2
748,95820,2
749,17821,2
750,50265,2
751,92808,2
752,22601,2
753,46268,2
754,49079,2
755,10990,2
