,Brewery,County,Full Address,Lat,Lng,State,Zip Code
0,(512) Brewing Co,Travis,"407 Radam Ln, Austin TX",30.223586,-97.769438,TX,78745-1113
1,"10 Barrel Brewing Company, 10 Barrel Brewing Co",Deschutes,"1135 N W Galveston Ave, Bend OR",44.056624,-121.328514,OR,97703-2431
2,"10 Barrel Brewing, 10 Barrel Brewing Co.",Ada,"830 W Bannock St, Boise ID",43.617361,-116.20237,ID,83702-5857
3,10 Gallon Tours,Tarrant,"1022 Texan Trl, Grapevine TX",32.939355,-97.063864,TX,76051-3703
4,10 Mile Tavern,Pope County," Po Box 135, Villard MN",45.715143,-95.269085,MN,
5,101 Cider House,Ventura,"31111 Via Colinas, Westlake Village CA",34.153317,-118.802639,CA,91362-3909
6,101 North Brewing Company,Sonoma,"1304 Scott St, Petaluma CA",38.270172,-122.665296,CA,94954-1120
7,105 West Brewery,Douglas,"1043 Park St, Castle Rock CO",39.380649,-104.865872,CO,80109-1589
8,10-speed Coffee Bar,Hood River,"1412 13th St, Hood River OR",45.699833,-121.524702,OR,97031-1616
9,12 String Brewery,Spokane,"11616 E Montgomery Dr, Spokane Valley WA",47.677501,-117.248141,WA,99206-4745
10,127 Brewing,Jackson,"3090 Shirley Dr, Jackson MI",42.28657,-84.431079,MI,49201-7010
11,14th Star Brewing Co Llc,Franklin,"41 Lower Newton St, Stalbans VT",44.819971,-73.085339,VT,05478-1900
12,14th Star Brewing Company,Franklin,"133 N Main St, Saint Albans VT",44.814329,-73.082813,VT,05478-1523
13,1585 Pennsauken Llc,Camden County,"1585 State Hwy No 73, Pennsauken NJ",39.964412,-75.056054,NJ,
14,16 Mile Brewing Co,Sussex,"413 S Bedford St, Georgetown DE",38.67868,-75.379231,DE,19947-1849
15,189 Public House,Erie,"189 Main St, E Aurora NY",42.767824,-78.627808,NY,14052-1632
16,18th Street Brewery,Lake,"5417 Oakley Ave, Hammond IN",41.619009,-87.516763,IN,46320-1605
17,1912 Brewing Co.,Pima,"2045 N Forbes Blvd, Tucson AZ",32.246745,-110.993296,AZ,85745-1417
18,192 Brewing Tasting Room,King,"7324 N E 175th St, Kenmore WA",47.756315,-122.242185,WA,98028-2500
19,1933 Brewing Company,Larimer,"4025 S Mason, Fort Collins CO",40.531142,-105.079494,CO,80525-3053
20,1940's Brewing Company,Suffolk,"1337 1 Lincoln Ave, Holbrook NY",40.783283,-73.084283,NY,11741-2209
21,1960 C B Tavern,Philadelphia,"1960 N 2nd St, Philadelphia PA",39.980567,-75.137189,PA,19122-2309
22,19th St Country Club,Wood,"1401 19th St, Parkersburg WV",39.274503,-81.541924,WV,26101-3415
